,CN,JC,AA,LRW,ILRW
0,0.9951210747456878,0.9958443903877341,0.9961668878077546,0.9871277458351762,0.9845339451570102
1,0.9997301330285424,0.9998031558561132,0.9997206083119027,0.9993713687017811,0.9993332698352224
2,0.9996331422049513,0.999578792901981,0.9996331422049513,0.9997418408108916,0.9997146661594065
3,0.9966968169499503,0.9969368931670323,0.9972841971016253,0.9941888270616189,0.9924371247029887
4,0.9994536297985557,0.9994833238312428,0.9994536297985557,0.9995486507031547,0.9995605283162295
5,0.9996500505482542,0.9996414098210505,0.9996543709118559,0.9996370894574488,0.9996370894574488
6,0.9999055891238671,0.9999645959214502,0.9998819864048338,0.9997993768882175,0.9998229796072508
7,0.9999685237645578,1.0,0.9999685237645578,0.9999055712936733,0.9999055712936733
8,0.9382192085921454,0.9418836150362543,0.9365902397980648,0.9057901705065703,0.8762948848028904
9,0.5,0.5,0.5,0.5,0.5
10,0.9998112317130722,0.9998112317130722,0.9998112317130722,0.9999056158565361,0.9998112317130722
11,0.9999527945619335,1.0,0.9999527945619335,0.9999055891238671,0.9997167673716012
12,0.9994450786402841,0.9993776953323186,0.9993499492643328,0.9990328513444952,0.9989694317605277
13,0.9993733978923384,0.9993164340643691,0.9993544099496819,0.9992784581790563,0.9992974461217127
14,0.9997062932622087,0.9997499523718804,0.999714231282149,0.9998333015812536,0.9998333015812536
15,0.9994760906839398,0.9994879977138502,0.9994760906839398,0.9994522766241188,0.9994522766241188
